scoringUnitSequenceRegion-Begin
regionParameters,Unified,235,235
SingleShot,12,G,white
SingleShot,19,G,white
SingleShot,20,highC,white
SingleShot,24,highD,white
SingleShot,28,highE,white
SingleShot,32,highF,white
SingleShot,36,highG,white
SingleShot,40,highhighC,white
SingleShot,44,highH,white
SingleShot,48,highA,white
SingleShot,52,highA,white
SingleShot,56,highG,white
SingleShot,60,highF,black
SingleShot,62,highF,black
SingleShot,64,highA,white
SingleShot,66,highG,white
SingleShot,68,highE,white
SingleShot,70,E,white
SingleShot,72,E,white
SingleShot,74,E,white
SingleShot,75,E,white
SingleShot,76,F,black
SingleShot,78,G,black
SingleShot,80,A,white
SingleShot,82,A,white
SingleShot,84,H,white
SingleShot,86,highC,white
SingleShot,88,highD,white
SingleShot,90,A,white
SingleShot,92,A,white
SingleShot,96,highC,white
SingleShot,100,highC,white
SingleShot,104,H,white
SingleShot,108,A,white
SingleShot,112,G,white
SingleShot,116,highE,white 
SingleShot,120,highF,white
SingleShot,122,highE,white
SingleShot,123,highD,white
SingleShot,123.5,highC,white
SingleShot,124,A,white
SingleShot,126,highC,white
SingleShot,128,highD,white
SingleShot,130,highE,white
SingleShot,132,highD,white
SingleShot,134,highC,white
SingleShot,136,highC,white
SingleShot,138,H,white
SingleShot,139,G ,white
SingleShot,139.5,highG,white
SingleShot,140,highE,white
SingleShot,142,highF,white
SingleShot,144,highG,white
SingleShot,146,highA,white
SingleShot,148,A,white
SingleShot,148.5,H ,white
SingleShot,148.75,highC,white
SingleShot,150,highF,white
SingleShot,150.5,highE ,white
SingleShot,150.75,highC,white
SingleShot,152,lowlowC,white
SingleShot,154,lowlowC,white
SingleShot,156,lowlowD,white
SingleShot,158,lowlowD,white
SingleShot,160,lowlowC,white
SingleShot,162,lowlowC,white
SingleShot,164,lowlowD,white
SingleShot,166,lowlowC,white
SingleShot,168,lowlowD,white
SingleShot,170,lowlowC,white
SingleShot,171,lowlowC,white
SingleShot,172,lowlowC,white
SingleShot,173,lowlowD,white
SingleShot,174,lowlowC,white
SingleShot,175,lowlowC,white
SingleShot,176,lowlowC,white
SingleShot,177,lowlowD,white
SingleShot,178,lowlowC,white
SingleShot,179,lowlowC,white
SingleShot,180,lowlowC,white
SingleShot,181,lowlowD,white
SingleShot,182,lowlowC,white
SingleShot,183,lowlowD,white
SingleShot,184,lowlowC,white
SingleShot,185,lowlowD,white
SingleShot,186,lowlowD,white
SingleShot,187,lowlowD,white
SingleShot,188,lowlowD,white
SingleShot,192,lowlowD,white
SingleShot,196,lowlowD,white
SingleShot,200,lowlowD ,white
SingleShot,202,lowlowD,white
SingleShot,203,lowlowD ,white
SingleShot,203.5,lowlowC,white
SingleShot,204,lowlowD,white
SingleShot,208,lowlowD,white
SingleShot,212,lowlowD,white
SingleShot,215.75,lowlowD,white
SingleShot,217.5,lowlowC,white
scoringUnitSequenceRegion-End
