scoringUnitSequenceRegion-Begin
regionParameters,Unified,235,235

SingleShot,30,G,white
SingleShot,30.5,G,white
SingleShot,31,highC,white
SingleShot,32,highD,white
SingleShot,33,highE,white
SingleShot,34,highF,white
SingleShot,35,highG,white
SingleShot,36,highhighC,white
SingleShot,38,highH,white
SingleShot,39,highA,white
SingleShot,39.5,highA,white
SingleShot,41,highG,white
SingleShot,42,highF,black
SingleShot,42.5,highF,black
SingleShot,43,highA,white
SingleShot,44,highG,white
SingleShot,45,highE,white
SingleShot,47,E,white
SingleShot,47.5,E,white
SingleShot,48,E,white
SingleShot,49,E,white
SingleShot,50,F,black
SingleShot,51,G,black
SingleShot,52,A,white
SingleShot,55,A,white
SingleShot,55.5,H,white
SingleShot,56,highC,white
SingleShot,56.5,highD,white
SingleShot,59,A,white
SingleShot,59.5,A,white
SingleShot,60,highC,white
SingleShot,61,highC,white
SingleShot,62,H,white
SingleShot,63,A,white
SingleShot,64,G,white
SingleShot,65,highE,white
SingleShot,68,highF,white
SingleShot,68.5,highE,white
SingleShot,69,highD,white
SingleShot,69.5,highC,white
SingleShot,71,A,white
SingleShot,72.5,highC,white
SingleShot,73.5,highD,white
SingleShot,76,highE,white
SingleShot,76.5,highD,white
SingleShot,77,highC,white
SingleShot,77.5,highC,white
SingleShot,79.5,H,white
SingleShot,80.5,G ,white
SingleShot,82,highG,white
SingleShot,85,highE,white
SingleShot,85.5,highF,white
SingleShot,86,highG,white
SingleShot,86.5,highA,white
SingleShot,89,A,white
SingleShot,89.5,H ,white
SingleShot,90,highC,white
SingleShot,90.5,highF,white
SingleShot,92.5,highE ,white
SingleShot,95,highC,white

SingleShot,98,G,white
SingleShot,98.5,G,white
SingleShot,99,highC,white
SingleShot,100,highD,white
SingleShot,101,highE,white
SingleShot,102,highF,white
SingleShot,103,highG,white
SingleShot,104,highhighC,white
SingleShot,106,highH,white
SingleShot,107,highA,white
SingleShot,107.5,highA,white
SingleShot,109,highG,white
SingleShot,110,highF,black
SingleShot,110.5,highF,black
SingleShot,111,highA,white
SingleShot,112,highG,white
SingleShot,113,highE,white
SingleShot,115,E,white
SingleShot,115.5,E,white
SingleShot,116,E,white
SingleShot,117,E,white
SingleShot,118,F,black
SingleShot,119,G,black
SingleShot,120,A,white
SingleShot,123,A,white
SingleShot,123.5,H,white
SingleShot,124,highC,white
SingleShot,124.5,highD,white
SingleShot,127,A,white
SingleShot,127.5,A,white
SingleShot,128,highC,white
SingleShot,129,highC,white
SingleShot,130,H,white
SingleShot,131,A,white
SingleShot,132,G,white
SingleShot,133,highE,white
SingleShot,136,highF,white
SingleShot,136.5,highE,white
SingleShot,137,highD,white
SingleShot,137.5,highC,white
SingleShot,140,A,white
SingleShot,140.5,highC,white
SingleShot,141.5,highD,white
SingleShot,144.5,highE,white
SingleShot,145,highD,white
SingleShot,145.5,highC,white
SingleShot,146,highC,white
SingleShot,148,H,white
SingleShot,149,G ,white
SingleShot,150,highG,white
SingleShot,153,highE,white
SingleShot,153.5,highF,white
SingleShot,154,highG,white
SingleShot,154.5,highA,white
SingleShot,157,A,white
SingleShot,157.5,H ,white
SingleShot,158,highC,white
SingleShot,158.5,highF,white
SingleShot,160.5,highE ,white
SingleShot,163.5,highC,white


SingleShot,168.5,G,white
SingleShot,169.5,highG,white
SingleShot,170.5,highC,white
SingleShot,171.25,highD,white
SingleShot,172,highE,white
SingleShot,172.75,highF,white
SingleShot,173.5,highE,white
SingleShot,174.25,highF,white
SingleShot,175,highG,white
SingleShot,175.75,highA,white

SingleShot,182,highA,white
SingleShot,184,highH,white
SingleShot,185,highhighC,white
SingleShot,186,highhighF,white
SingleShot,192,highhighE,white
SingleShot,195,highhighE,white
SingleShot,198,highhighC,white

scoringUnitSequenceRegion-End
